scenario,dr1_cost_avg,dr2_cost_avg,dr3_cost_avg,total_review_cost_avg,cost_per_completed_job_avg
01_Baseline,23.72,15.16,5.22,44.1,37.637681159420296
02_High_Load,51.28,34.36,11.64,97.28,38.742333333333335
03_Few_Engineers,23.76,14.92,5.16,43.84,37.85507246376812
04_Many_Engineers,23.72,15.16,5.28,44.16,37.137681159420296
05_High_Uncertainty,23.72,15.16,5.22,44.1,37.637681159420296
06_Tight_DR,18.86,12.92,3.42,35.2,42.708333333333336
