job_id,node_id,start_time,base_duration,effective_duration,friction_multiplier,n_servers,wait_time,trial_id
bundle_BUNDLE_MID_5,FIN_EXP,363.0,20.933154513024434,21.979812238675656,1.05,2,0.0,0
bundle_BUNDLE_MID_1,MID_EXP,300.35065632991973,20.03290908141182,21.03455453548241,1.05,2,27.35065632991973,0
bundle_BUNDLE_SMALL_1,MID_EXP,93.0,10.530722222937277,10.530722222937277,1.0,2,0.0,0
job_12.02,SMALL_EXP,12.021043019829973,2.281496444935955,2.281496444935955,1.0,999,0.0,0
job_23.70,SMALL_EXP,23.70199129895224,10.03302466636398,10.03302466636398,1.0,999,0.0,0
job_37.02,SMALL_EXP,37.02476774758143,2.7917726948615087,2.9313613296045844,1.05,999,0.0,0
job_44.72,SMALL_EXP,44.72025732460407,0.42277187907911945,0.4650490669870314,1.1,999,0.0,0
job_51.77,SMALL_EXP,51.770060795891936,0.2602948293920747,0.2863243123312822,1.1,999,0.0,0
job_35.63,SMALL_EXP,35.625796298323515,20.78340522058476,20.78340522058476,1.0,999,0.0,0
bundle_BUNDLE_SMALL_4,MID_EXP,183.0,1.0598667650213724,1.1128601032724412,1.05,2,0.0,0
job_96.79,SMALL_EXP,96.7939072781402,14.986185505876076,17.983422607051292,1.2,999,0.0,0
job_111.18,SMALL_EXP,111.17765606341352,3.5931240151078887,4.132092617374072,1.15,999,0.0,0
job_98.37,SMALL_EXP,98.36980328880216,18.68920875403653,21.49259006714201,1.15,999,0.0,0
job_121.49,SMALL_EXP,121.48538924519744,1.5450012475201658,1.6222513098961742,1.05,999,0.0,0
job_112.30,SMALL_EXP,112.29553792447513,11.983498938468806,14.380198726162567,1.2,999,0.0,0
job_127.62,SMALL_EXP,127.62081856126873,0.41262539402257925,0.41262539402257925,1.0,999,0.0,0
bundle_BUNDLE_MID_2,MID_EXP,321.38521086540214,4.971020828316995,5.219571869732845,1.05,2,48.385210865402144,0
bundle_BUNDLE_SMALL_2,MID_EXP,183.0,32.96765132314589,32.96765132314589,1.0,2,0.0,0
