scenario,overall_status,gate1_name,gate1_status,gate1_value,gate1_threshold,gate2_name,gate2_status,gate2_value,gate2_threshold,gate3_name,gate3_status,gate3_value,gate3_threshold,gate4_name,gate4_status,gate4_value,gate4_threshold,avg_completed,avg_tp,avg_p90_lt,avg_reworks,ci_width_tp
01_Baseline,FAIL,Gate1: 完了ジョブ数下限,FAIL,0.0,5,Gate2: 統計品質(CI幅),PASS,0.287,0.5,Gate3: P90待ち時間基準,PASS,61.5734,300.0,Gate4: 平均差し戻し回数,PASS,1.0333,5.0,0.0,0.0012054794520547946,61.573447780675814,1.0333333333333332,0.28698337812094443
02_High_Load,FAIL,Gate1: 完了ジョブ数下限,FAIL,0.0,5,Gate2: 統計品質(CI幅),PASS,0.1987,0.5,Gate3: P90待ち時間基準,PASS,76.5799,300.0,Gate4: 平均差し戻し回数,PASS,1.229,5.0,0.0,0.002666666666666666,76.57987149791477,1.2289999999999999,0.198712992724097
03_Few_Engineers,FAIL,Gate1: 完了ジョブ数下限,FAIL,0.0,5,Gate2: 統計品質(CI幅),PASS,0.289,0.5,Gate3: P90待ち時間基準,PASS,59.4768,300.0,Gate4: 平均差し戻し回数,PASS,1.0633,5.0,0.0,0.001187214611872146,59.47684198085677,1.0633333333333332,0.28896854138416284
04_Many_Engineers,FAIL,Gate1: 完了ジョブ数下限,FAIL,0.0,5,Gate2: 統計品質(CI幅),PASS,0.2848,0.5,Gate3: P90待ち時間基準,PASS,61.5268,300.0,Gate4: 平均差し戻し回数,PASS,1.0533,5.0,0.0,0.001223744292237443,61.526781227435585,1.0533333333333332,0.28479278282812015
05_High_Uncertainty,FAIL,Gate1: 完了ジョブ数下限,FAIL,0.0,5,Gate2: 統計品質(CI幅),PASS,0.287,0.5,Gate3: P90待ち時間基準,PASS,61.5734,300.0,Gate4: 平均差し戻し回数,PASS,1.0333,5.0,0.0,0.0012054794520547946,61.573447780675814,1.0333333333333332,0.28698337812094443
06_Tight_DR,FAIL,Gate1: 完了ジョブ数下限,FAIL,0.0,5,Gate2: 統計品質(CI幅),PASS,0.4174,0.5,Gate3: P90待ち時間基準,PASS,23.0103,300.0,Gate4: 平均差し戻し回数,PASS,1.33,5.0,0.0,0.0008219178082191779,23.010328934582617,1.33,0.41739884796469556
