scenario_name,n_trials,days,arrival_rate,small_exp_duration,proto_duration,bundle_size,dr_period,dr_periods,dr_capacity,dr_quality,rework_load_factor,max_rework_cycles,decay,n_senior,n_coordinator,n_new,rework_beta_a,rework_beta_b,rework_task_type_mix,conditional_prob_ratio,decision_latency_days,friction_model,friction_alpha,n_servers_proto
Base_90_Single,50,365,0.6,5,20,3,90,,10,0.8,1.0,5,0.7,1,1,0,2,5,1,0.8,2.0,linear,0.05,5
Split_30x3,50,365,0.6,5,20,3,90,30|30|30,10,0.8,1.0,5,0.7,1,1,0,2,5,1,0.8,2.0,linear,0.05,5
Split_30_60,50,365,0.6,5,20,3,90,30|60,10,0.8,1.0,5,0.7,1,1,0,2,5,1,0.8,2.0,linear,0.05,5
Split_60_30,50,365,0.6,5,20,3,90,60|30,10,0.8,1.0,5,0.7,1,1,0,2,5,1,0.8,2.0,linear,0.05,5
Split_10x9,50,365,0.6,5,20,3,90,10|10|10|10|10|10|10|10|10,10,0.8,1.0,5,0.7,1,1,0,2,5,1,0.8,2.0,linear,0.05,5
Split_45x2,50,365,0.6,5,20,3,90,45|45,10,0.8,1.0,5,0.7,1,1,0,2,5,1,0.8,2.0,linear,0.05,5
