total_experiments,technical_failures,operational_failures,total_gain,rework_count,integration_days,market_complaints,dr_cost,completed_jobs,scenario_id
24,12,2,5.573708182210804,0,0,0,5900.0,3,Baseline
24,9,2,6.141249181919567,0,0,0,5900.0,3,Optimized
