scenario,dr1_cost_avg,dr2_cost_avg,dr3_cost_avg,total_review_cost_avg,cost_per_completed_job_avg
S1_Baseline,1.4,1.2,0.15,2.75,55.0
S2_HeavyRework,0.0,0.0,0.0,0.0,0.0
S3_DR2_Heavy,1.4,1.6,0.15,3.15,63.0
S4_Rework_Spiral,0.0,0.0,0.0,0.0,0.0
S5_Res_Crunch,1.3,0.9,0.15,2.35,47.0
S6_High_Load_Rework,0.0,0.0,0.0,0.0,0.0
