scenario,dr1_cost_avg,dr2_cost_avg,dr3_cost_avg,total_review_cost_avg,cost_per_completed_job_avg
01_Baseline_v2,15.366666666666667,4.266666666666667,1.2,20.833333333333332,95.0
02_High_Resource_Extreme,40.166666666666664,13.8,3.6,57.56666666666667,144.33333333333334
03_High_Uncertainty_Extreme,0.0,0.0,0.0,0.0,0.0
04_Efficient_DR_Extreme,55.45,21.65,15.75,92.85,3.3277279465590044
05_Heavy_Load_Extreme,0.0,0.0,0.0,0.0,0.0
06_Throughput_Max_Attempt,115.56666666666666,58.96666666666667,29.033333333333335,203.56666666666666,10.395616028853812
