job_id,node_id,start_time,base_duration,effective_duration,friction_multiplier,n_servers,wait_time,trial_id
job_17.89,SMALL_EXP,17.888102929841626,7.2237426603287105,7.368217513535285,1.02,20,0.0,0
job_20.71,SMALL_EXP,20.708024318356774,6.7057509701186,6.906923499222158,1.03,20,0.0,0
job_27.12,SMALL_EXP,27.115204625822788,5.197209920821797,5.301154119238233,1.02,20,0.0,0
job_31.53,SMALL_EXP,31.52724618855265,2.1025935928181623,2.186697336530889,1.04,20,0.0,0
job_29.35,SMALL_EXP,29.34919893250473,9.331545904164976,9.611492281289925,1.03,20,0.0,0
job_41.15,SMALL_EXP,41.15031986626117,1.2792282234829948,1.3559819168919747,1.06,20,0.0,0
job_38.53,SMALL_EXP,38.53440837647569,4.645031904187608,4.830833180355112,1.04,20,0.0,0
job_53.19,SMALL_EXP,53.19409314505712,0.5674213038512715,0.5901181560053225,1.04,20,0.0,0
job_55.98,SMALL_EXP,55.984792229722565,4.606377891438312,4.7445692281814615,1.03,20,0.0,0
job_64.08,SMALL_EXP,64.07636445037227,0.27482085660181843,0.29131010799792756,1.06,20,0.0,0
job_63.39,SMALL_EXP,63.38869772749668,7.768348754326198,8.15676619204251,1.05,20,0.0,0
job_87.31,SMALL_EXP,87.30543178764144,0.8368582363196682,0.8703325657724549,1.04,20,0.0,0
job_84.34,SMALL_EXP,84.3406053063157,9.740345293639018,10.22736255832097,1.05,20,0.0,0
job_95.30,SMALL_EXP,95.29694433001112,0.6054156522656658,0.6235781218336358,1.03,20,0.0,0
job_96.42,SMALL_EXP,96.42402051478838,0.08174308837512353,0.08419538102637725,1.03,20,0.0,0
job_84.30,SMALL_EXP,84.29832579349612,18.024156742504932,18.74512301220513,1.04,20,0.0,0
job_83.26,SMALL_EXP,83.25812695351,43.67065824303475,45.417484572756145,1.04,20,0.0,0
job_134.36,SMALL_EXP,134.35918103151343,2.7490551958463425,2.831526851721733,1.03,20,0.0,0
job_168.83,SMALL_EXP,168.8331434865128,3.743384887725094,3.893120283234098,1.04,20,0.0,0
job_179.81,SMALL_EXP,179.81077866838174,11.522310815691911,11.867980140162668,1.03,20,0.0,0
job_187.99,SMALL_EXP,187.99330099432675,10.518967626007777,10.624157302267855,1.01,20,0.0,0
job_202.37,SMALL_EXP,202.37314828392152,7.9216869836357064,8.000903853472064,1.01,20,0.0,0
job_207.76,SMALL_EXP,207.7574952292203,3.780599118402452,3.93182308313855,1.04,20,0.0,0
job_210.31,SMALL_EXP,210.3129774647192,9.04767624443101,9.40958329420825,1.04,20,0.0,0
job_228.90,SMALL_EXP,228.90247594211255,2.805154262280272,2.917360432771483,1.04,20,0.0,0
job_242.28,SMALL_EXP,242.28206740259884,0.9574228381246279,1.0052939800308593,1.05,20,0.0,0
job_231.43,SMALL_EXP,231.43443000369498,11.495949101811439,11.955787065883897,1.04,20,0.0,0
job_259.97,SMALL_EXP,259.9668556511857,0.3567766667887667,0.36034443345665434,1.01,20,0.0,0
bundle_BUNDLE_SMALL_66,SMALL_EXP,272.3448793897103,0.5120997699186883,0.6093987262032391,1.19,20,1.344879389710286,0
job_153.55,SMALL_EXP,153.54536499104688,12.872511571092446,13.00123668680337,1.01,20,0.0,0
bundle_BUNDLE_SMALL_57,SMALL_EXP,271.04367419707296,4.878028947893891,5.80485444799373,1.19,20,0.04367419707295994,0
job_141.03,SMALL_EXP,141.02846773587345,6.269125692228916,6.457199462995783,1.03,20,0.0,0
bundle_BUNDLE_SMALL_55,SMALL_EXP,271.0,8.752780631794602,10.32828114551763,1.18,20,0.0,0
job_131.34,SMALL_EXP,131.34325828129425,9.824112038170261,10.217076519697072,1.04,20,0.0,0
bundle_BUNDLE_SMALL_102_rework_job_1_SMALL_EXP_0,SMALL_EXP,280.750098276645,1.7509587438928622,2.083640905232506,1.19,20,9.75009827664502,0
