job_id,node_id,start_time,base_duration,effective_duration,friction_multiplier,n_servers,wait_time,trial_id
job_12.49,SMALL_EXP,12.48565158202444,7.1387549701505755,7.567080268359611,1.06,20,0.0,0
job_22.46,SMALL_EXP,22.46384685954648,0.951608735342024,1.0087052594625454,1.06,20,0.0,0
job_29.16,SMALL_EXP,29.158250745266898,2.016279292666751,2.1775816360800913,1.08,20,0.0,0
job_32.79,SMALL_EXP,32.78993442960073,1.2050216332009502,1.3737246618490835,1.1400000000000001,20,0.0,0
job_34.29,SMALL_EXP,34.29193322188432,0.7716003186927707,0.8333283441881923,1.08,20,0.0,0
job_34.98,SMALL_EXP,34.9802421047818,0.34816211339756675,0.38297832473732346,1.1,20,0.0,0
job_24.34,SMALL_EXP,24.34027193242427,13.670215927544794,14.217024564646586,1.04,20,0.0,0
job_32.26,SMALL_EXP,32.26463575938007,8.82371782073995,9.882563959228744,1.12,20,0.0,0
job_37.43,SMALL_EXP,37.431845974825045,5.4489857830857975,5.884904645732662,1.08,20,0.0,0
job_46.65,SMALL_EXP,46.65399352476882,1.385119816414265,1.5236317980556917,1.1,20,0.0,0
job_45.51,SMALL_EXP,45.51179277209507,2.657320763930212,2.869906425044629,1.08,20,0.0,0
job_51.75,SMALL_EXP,51.75465354426306,0.3373959645259602,0.36438764168803706,1.08,20,0.0,0
job_49.41,SMALL_EXP,49.4088053476437,3.260327217579343,3.32553376193093,1.02,20,0.0,0
job_43.63,SMALL_EXP,43.63326644369458,11.532129328369846,11.532129328369846,1.0,20,0.0,0
job_58.12,SMALL_EXP,58.116096270409464,1.8899406094652862,1.927739421654592,1.02,20,0.0,0
job_66.51,SMALL_EXP,66.5100641900419,0.17159678668653475,0.17502872242026543,1.02,20,0.0,0
job_69.38,SMALL_EXP,69.38177246125836,0.6378367087014436,0.6761069112235303,1.06,20,0.0,0
job_72.75,SMALL_EXP,72.75452648970122,0.4048439514762079,0.43723146759430453,1.08,20,0.0,0
job_68.85,SMALL_EXP,68.84687880953165,10.94265788436324,11.38036419973777,1.04,20,0.0,0
job_80.35,SMALL_EXP,80.35335042899034,0.2310741251908091,0.24493857270225766,1.06,20,0.0,0
job_70.56,SMALL_EXP,70.56276508212262,9.487427154042967,10.436169869447264,1.1,20,0.0,0
job_84.11,SMALL_EXP,84.11351195655398,6.0604350903860045,6.666478599424606,1.1,20,0.0,0
job_106.75,SMALL_EXP,106.74864951677027,0.5408845208743742,0.5625199017093492,1.04,20,0.0,0
job_108.42,SMALL_EXP,108.41707675525701,0.7676214469181186,0.8136787337332058,1.06,20,0.0,0
job_109.45,SMALL_EXP,109.45271523441193,1.0865191197562953,1.1517102669416732,1.06,20,0.0,0
job_106.82,SMALL_EXP,106.82273877722335,10.58578902522498,11.22093636673848,1.06,20,0.0,0
job_101.28,SMALL_EXP,101.2805136477153,17.072886547004863,17.072886547004863,1.0,20,0.0,0
job_115.90,SMALL_EXP,115.89943485268377,3.3538938832622742,3.5551275162580107,1.06,20,0.0,0
job_126.70,SMALL_EXP,126.69944625030605,1.4761245607455966,1.5351695431754204,1.04,20,0.0,0
job_131.37,SMALL_EXP,131.3745217640313,1.25068481706633,1.4257806914556164,1.1400000000000001,20,0.0,0
job_131.09,SMALL_EXP,131.08726270238358,3.1015472686181105,3.411701995479922,1.1,20,0.0,0
job_130.63,SMALL_EXP,130.6257658964186,4.633654533491329,4.91167380550081,1.06,20,0.0,0
job_130.85,SMALL_EXP,130.84979464781642,8.34745099778625,9.015247077609152,1.08,20,0.0,0
job_137.50,SMALL_EXP,137.497132169008,5.506012998482991,5.946494038361631,1.08,20,0.0,0
job_145.12,SMALL_EXP,145.12368712024227,7.400655218909039,8.436746949556305,1.1400000000000001,20,0.0,0
job_135.63,SMALL_EXP,135.6267541855755,27.929028099197453,30.16335034713325,1.08,20,0.0,0
