Scenario,Node,AvgTime,AvgWait,AvgWork
01_Baseline,SMALL_EXP,7.627113204147709,0.0,7.627113204147709
01_Baseline,BUNDLE_SMALL,67.34950365115903,67.34950365115903,0.0
01_Baseline,DR1,50.13185525244649,47.13185525244649,3.0
01_Baseline,MID_EXP,27.277864414720323,5.8830149791188235,21.3948494356015
01_Baseline,BUNDLE_MID,34.18005251523303,34.18005251523303,0.0
01_Baseline,DR2,65.44226234394091,62.442262343940904,3.0
01_Baseline,FIN_EXP,20.812448147202947,0.2643360879874118,20.548112059215534
01_Baseline,BUNDLE_FIN,89.3968472138926,89.3968472138926,0.0
01_Baseline,DR3,67.52482309193448,64.52482309193448,3.0
02_High_Load,SMALL_EXP,8.140344324756299,0.0,8.140344324756299
02_High_Load,BUNDLE_SMALL,34.034217912657034,34.034217912657034,0.0
02_High_Load,DR1,50.54786124146258,47.54786124146258,3.0
02_High_Load,MID_EXP,46.09217652516342,24.0175995370357,22.074576988127717
02_High_Load,BUNDLE_MID,16.427736170522,16.427736170522,0.0
02_High_Load,DR2,56.18722269978779,53.18722269978779,3.0
02_High_Load,FIN_EXP,22.22102102216022,2.806526667430321,19.414494354729896
02_High_Load,BUNDLE_FIN,46.281366724561884,46.281366724561884,0.0
02_High_Load,DR3,67.58438127433443,64.58438127433443,3.0
03_Few_Engineers,SMALL_EXP,7.586652522692244,0.0,7.586652522692244
03_Few_Engineers,BUNDLE_SMALL,66.88687789345872,66.88687789345872,0.0
03_Few_Engineers,DR1,50.70175890889852,47.70175890889852,3.0
03_Few_Engineers,MID_EXP,26.35710502077866,5.477482550041409,20.879622470737253
03_Few_Engineers,BUNDLE_MID,33.0038384207846,33.0038384207846,0.0
03_Few_Engineers,DR2,66.06700572884458,63.067005728844585,3.0
03_Few_Engineers,FIN_EXP,21.065010650415665,0.20485006486018825,20.860160585555477
03_Few_Engineers,BUNDLE_FIN,90.6338183412523,90.6338183412523,0.0
03_Few_Engineers,DR3,65.94556169199996,62.94556169199996,3.0
04_Many_Engineers,SMALL_EXP,7.637237604231912,0.0,7.637237604231912
04_Many_Engineers,BUNDLE_SMALL,67.66026361395501,67.66026361395501,0.0
04_Many_Engineers,DR1,50.163562770703635,47.163562770703635,3.0
04_Many_Engineers,MID_EXP,26.96885929265915,5.7518114753063605,21.21704781735279
04_Many_Engineers,BUNDLE_MID,34.1715065623523,34.1715065623523,0.0
04_Many_Engineers,DR2,65.52056771950765,62.52056771950765,3.0
04_Many_Engineers,FIN_EXP,20.494161762418912,0.23243483026459483,20.261726932154318
04_Many_Engineers,BUNDLE_FIN,88.97358275086151,88.97358275086151,0.0
04_Many_Engineers,DR3,67.38006657490388,64.38006657490388,3.0
05_High_Uncertainty,SMALL_EXP,8.048602725762361,0.0,8.048602725762361
05_High_Uncertainty,BUNDLE_SMALL,61.41913973197666,61.41913973197666,0.0
05_High_Uncertainty,DR1,52.91617843566162,49.91617843566162,3.0
05_High_Uncertainty,MID_EXP,22.70726324278779,1.6904929716032826,21.016770271184505
05_High_Uncertainty,BUNDLE_MID,54.34801305917749,54.34801305917749,0.0
05_High_Uncertainty,DR2,67.06520182780766,64.06520182780766,3.0
05_High_Uncertainty,FIN_EXP,22.326331187021346,0.0,22.326331187021346
05_High_Uncertainty,BUNDLE_FIN,255.4069776604,255.4069776604,0.0
05_High_Uncertainty,DR3,70.53403851595294,67.53403851595294,3.0
06_Tight_DR,SMALL_EXP,7.644571644043041,0.0,7.644571644043041
06_Tight_DR,BUNDLE_SMALL,66.58715794576354,66.58715794576354,0.0
06_Tight_DR,DR1,26.565408132699854,23.565408132699854,3.0
06_Tight_DR,MID_EXP,22.9723759061066,2.3501856763485227,20.622190229758075
06_Tight_DR,BUNDLE_MID,32.0846981215465,32.0846981215465,0.0
06_Tight_DR,DR2,29.459771636381433,26.459771636381433,3.0
06_Tight_DR,FIN_EXP,21.432249820040596,0.0683002143895834,21.363949605651012
06_Tight_DR,BUNDLE_FIN,100.12350936283875,100.12350936283875,0.0
06_Tight_DR,DR3,31.078440178475148,28.078440178475148,3.0
