rework_load_factor,dr2_rework_multiplier,decay,rework_beta_a,rework_beta_b,rework_reinject_ratio,conditional_prob_ratio,dr_quality,decision_latency_days,adoption_rate,throughput,completed_count,avg_reworks,rework_completed_count,rework_throughput,rework_lead_time_p90,p90_wait,avg_wip,rework_ratio
0.9309341102666914,2.7449091469617493,0.6817997878047221,3.052097787528592,2.978113281531603,0.7348782515361232,0.7164392616943192,0.8520150080563387,6.7302405412024155,0.4817630171098122,0.002191780821917808,8.0,0.0,7.5,0.0020547945205479454,38.81847060283646,143.33170447101273,420.058887975897,0.4838709677419355
1.6454603844327327,3.255277254510708,0.5550508236366432,4.488422155128907,9.01713289211574,0.6420531425025469,0.5460006768684045,0.644514928609689,13.80458227966863,0.461567300828564,0.001232876712328767,4.5,0.0,9.5,0.0026027397260273972,46.3540386199527,165.52052021880053,430.5071213366201,0.6785714285714286
1.5941187301479376,1.981568757179935,0.5668776454954643,1.8323090432494993,4.596650917102089,0.7677343479526327,0.8123823272199004,0.570977493391584,6.148682879074717,0.6324510840591004,0.0013698630136986301,5.0,0.0,19.0,0.0052054794520547945,90.27922219951165,155.1623114193207,601.1776225691592,0.7916666666666666
1.3724725669570652,2.6531534659041727,0.6140965658856341,3.57745987310299,1.5976075953290354,0.8209663080853491,0.9405208709226796,0.817403993375548,0.8441830676369031,0.8850641435236826,0.0026027397260273972,9.5,0.0,10.0,0.0027397260273972603,85.8387759109606,152.65668574533348,866.2989591892632,0.5128205128205128
2.5910883139810883,1.2924422266054263,0.9017416904870168,3.2889695280454485,2.7865315437055367,0.7080016572470015,0.5158573382555158,0.6789157254679742,1.246137929419464,0.776809036506177,0.0020547945205479454,7.5,0.0,11.5,0.003150684931506849,68.1218974986727,162.5990120175543,727.7239112571898,0.6052631578947368
2.4204707841075845,2.9732014199639085,0.8701236948875597,3.24123623722291,7.034850941887611,0.4635464992339674,0.5380884045159315,0.7585384691456907,3.3053355498373147,0.8379916056995587,0.0017808219178082193,6.5,0.0,1.5,0.000410958904109589,25.467734772319332,156.37427112087448,784.4208436044919,0.1875
0.8459574277450949,1.1934365261867954,0.8892613694271556,4.311958847827542,4.830729995736631,0.5243008570221112,0.8876698775206978,0.31356983720864134,3.26354986179149,0.7620582840136151,0.0008219178082191781,3.0,0.0,19.5,0.005342465753424657,121.18577903461183,141.79489698393112,752.5302656806355,0.8666666666666667
3.0263668246581754,2.13360445479218,0.7185263247343531,4.344185618496715,2.5006269198552946,0.9486173828198916,0.6343650669518848,0.832561499305162,7.519864948985685,0.4154163022583681,0.0027397260273972603,10.0,0.0,25.5,0.006986301369863014,33.79721645475627,136.07184422573764,396.73336072308956,0.7183098591549296
1.824132360455586,1.8855943459108815,0.6512696175295258,2.9636238439405487,7.520858234228858,0.6111348853648355,0.6158633334561966,0.5092699353389039,10.312929268169658,0.675886401553984,0.000547945205479452,2.0,0.0,10.5,0.0028767123287671234,66.34902805576014,141.99660814748944,637.0353327855382,0.84
0.684053398872296,3.5417888376634945,0.5303564301974523,2.240481722900073,9.859823504013372,0.8048108091749311,0.8547195815628335,0.6078364517685595,12.226909504145597,0.6069872316233631,0.0009589041095890411,3.5,0.0,12.0,0.0032876712328767125,33.83723470672318,77.92002182560695,275.56998082717064,0.7741935483870968
2.0642694700724094,3.1364991901583803,0.5091414873365311,4.684376218272189,8.295209308346449,0.5350878844426328,0.9283098362830944,0.5427539679591721,11.480827703381575,0.4904558802031603,0.001095890410958904,4.0,0.0,26.5,0.00726027397260274,40.49799402658151,145.07102097415685,460.22185702547245,0.8688524590163934
2.8453140971164133,1.755124083095002,0.7956845450039076,1.6433621138962922,2.311548749819155,0.8969149415712101,0.6523604147284495,0.7132425792332001,8.805362805558303,0.8176296095304427,0.002191780821917808,8.0,0.0,9.0,0.002465753424657534,69.00150298250377,158.5899134906966,820.5220487537661,0.5294117647058824
2.7611154513137337,1.043858453319132,0.7281745023734658,3.708369135337762,3.9374240181626297,0.7653091510678347,0.7966292014886476,0.7672225222309695,4.040237863766112,0.7029712765006195,0.0020547945205479454,7.5,0.0,17.0,0.004657534246575343,102.02345643527244,158.8560381345871,719.1614626129827,0.6938775510204082
