scenario,dr1_cost_avg,dr2_cost_avg,dr3_cost_avg,total_review_cost_avg,cost_per_completed_job_avg
01_Baseline,39.4,29.8,13.02,82.22,24.908333333333335
02_High_Load,78.08,59.44,26.88,164.4,25.177865079365077
03_Few_Engineers,39.66,30.8,12.24,82.7,31.910000000000004
04_Many_Engineers,39.34,29.76,13.08,82.18,24.045000000000005
05_High_Uncertainty,19.02,7.68,1.98,28.68,65.18181818181819
06_Tight_DR,39.82,33.08,13.32,86.22,29.065
