scenario_name,n_trials,days,arrival_rate,small_exp_duration,bundle_size_small,mid_exp_duration,fin_exp_duration,bundle_size_mid,bundle_size_fin,dr1_period,dr2_period,dr3_period,dr1_capacity,dr2_capacity,dr3_capacity,dr1_cost_per_review,dr2_cost_per_review,dr3_cost_per_review,dr2_rework_multiplier,dr_capacity,dr_quality,rework_load_factor,max_rework_cycles,decay,n_senior,n_coordinator,n_new,n_servers_mid,n_servers_fin,rework_beta_a,rework_beta_b,rework_task_type_mix,conditional_prob_ratio,decision_latency_days,friction_model,friction_alpha,engineer_pool_size,hours_per_day_per_engineer
S1_Baseline,20,1095,0.2,7,6,21,21,2,2,90,90,90,10,14,18,1.0,2.0,3.0,2.0,10,0.8,1.3,3,0.7,2,2,2,2,2,2,5,1,0.5,3,linear,0.05,10,6.0
S2_HeavyRework,20,1095,0.2,7,6,21,21,2,2,90,90,90,10,14,18,1.0,2.0,3.0,2.0,10,0.8,3.0,3,0.7,2,2,2,2,2,2,5,1,0.5,3,linear,0.05,10,6.0
S3_DR2_Heavy,20,1095,0.2,7,6,21,21,2,2,90,90,90,10,14,18,1.0,2.0,3.0,6.0,10,0.8,1.3,3,0.7,2,2,2,2,2,2,5,1,0.5,3,linear,0.05,10,6.0
S4_Rework_Spiral,20,1095,0.2,7,6,21,21,2,2,90,90,90,10,14,18,1.0,2.0,3.0,2.0,10,0.8,1.8,10,0.9,2,2,2,2,2,2,5,1,0.9,3,linear,0.05,10,6.0
S5_Res_Crunch,20,1095,0.2,7,6,21,21,2,2,90,90,90,10,14,18,1.0,2.0,3.0,2.0,10,0.8,2.0,3,0.7,2,2,2,2,2,2,5,1,0.5,3,linear,0.05,5,6.0
S6_High_Load_Rework,20,1095,0.4,7,6,21,21,2,2,90,90,90,10,14,18,1.0,2.0,3.0,2.0,10,0.8,1.8,3,0.7,2,2,2,2,2,2,5,1,0.5,3,linear,0.05,10,6.0
