arrival_rate,rework_load_factor,dr2_period,dr2_capacity,engineer_pool_size,hours_per_day_per_engineer,dr_quality,throughput,p90_wait,avg_wip,avg_reworks,dr1_wait,dr2_wait,dr3_wait,dr1_cost,dr2_cost,dr3_cost,dr1_wip,dr2_wip,dr3_wip,total_review_cost,cost_per_completed,completed_count,dr2_wait_ratio
0.45280373113557615,2.0960137370570093,76,29,16,5.585153024063574,0.8343270298531336,0.0039573820395738205,64.19281429831067,127.845498783455,0.6388888888888888,44.6614919824442,39.07107628859443,43.13997702365379,60.333333333333336,35.333333333333336,18.0,2.497262773722628,0.6444647201946472,0.2341849148418492,113.66666666666667,28.138888888888886,4.333333333333333,0.8748269382481159
0.1321870916786957,0.8885553110495561,62,21,4,5.090844658813978,0.7582299377854642,0.0009132420091324201,41.0840099143767,25.78832116788321,0.3333333333333333,28.753424453146682,16.926778212194293,32.19677837782418,11.666666666666666,7.333333333333333,3.0,0.46137469586374696,0.09124087591240876,0.043795620437956206,22.0,24.5,1.0,0.588687383646294
0.34983422580659496,1.9948776892799878,80,10,20,5.380441927672185,0.5407078167523652,0.0009132420091324201,25.915343579248376,33.76855231143552,0.2222222222222222,14.884542387743458,16.48207955277137,19.8177039197103,17.666666666666668,7.333333333333333,3.0,0.7302311435523113,0.16879562043795618,0.054440389294403896,28.0,28.0,1.0,1.1073286046296855
0.1283337037763718,1.516394043937897,81,23,13,6.702892349017796,0.6969196510867237,0.00060882800608828,26.818255847197932,11.856447688564478,0.5,12.963954798950198,14.114026073839007,24.248895028234358,6.0,3.3333333333333335,2.0,0.2159367396593674,0.06508515815085159,0.044708029197080286,11.333333333333334,17.0,0.6666666666666666,1.0887129963598716
0.38959207461635426,1.9792745848773154,46,14,12,5.325403662657979,0.5806720361944095,0.0009132420091324201,28.098177220300652,76.63047445255474,2.6666666666666665,29.88107307466454,14.42383500265304,32.66789779135286,37.666666666666664,22.0,4.0,1.5602189781021896,0.21776155717761556,0.06021897810218977,63.666666666666664,73.5,1.0,0.4827080662937327
0.27346359409865806,1.5519415150089535,57,25,6,6.956102433289757,0.555111507694569,0.00030441400304414,23.05559980399812,28.296532846715326,0.6666666666666666,13.079591523509102,13.351753413392652,25.765420282687447,13.666666666666666,7.333333333333333,3.0,0.49878345498783455,0.13838199513381996,0.07116788321167883,24.0,72.0,0.3333333333333333,1.020808133755123
0.1572897448655892,1.6855214060631991,89,26,14,7.549413023141919,0.810304894020038,0.0009132420091324201,52.92818416559768,46.90358880778589,1.6666666666666667,47.85927684473858,57.081378083225864,60.30169112408023,20.666666666666668,15.333333333333334,5.0,0.9099756690997567,0.41088807785888076,0.10066909975669099,41.0,41.0,1.0,1.192692030604744
0.46249690195277326,0.9674112810164393,54,15,11,4.835233433108182,0.7175539975359763,0.0018264840182648401,53.75162322005131,131.75669099756692,1.2777777777777777,41.587094921942594,29.46779505423994,46.82654461259953,63.666666666666664,33.333333333333336,12.0,2.4562043795620436,0.4555961070559611,0.15693430656934307,109.0,67.44444444444444,2.0,0.7085802725472861
0.3673111160982634,2.405335590118649,86,21,18,7.586376623816748,0.7872487269890549,0.0015220700152207,51.26423627577251,104.19251824817519,1.6666666666666667,41.73598120384523,44.56258600716078,40.1667885539395,52.0,34.666666666666664,8.0,2.008211678832117,0.7636861313868614,0.11465936739659366,94.66666666666667,62.0,1.6666666666666667,1.0677258500167988
0.12115995005517291,2.2341194197265937,72,25,10,6.9410670384989555,0.8009607686582583,0.0009132420091324201,12.012522094962762,23.686739659367394,0.5,30.251968322635136,22.988278919073892,11.769760778333895,11.0,6.666666666666667,3.0,0.46289537712895373,0.10614355231143553,0.018856447688564478,20.666666666666668,22.75,1.0,0.7598936596093682
0.5998781114159626,1.4503805030964076,67,17,18,7.191693844561751,0.6380418148260671,0.00213089802130898,64.48156405975898,170.985401459854,1.1666666666666667,42.895179271689216,33.49086918184162,47.71684419520896,82.66666666666667,44.666666666666664,14.0,3.2889294403892944,0.7034671532846716,0.20255474452554745,141.33333333333334,62.77777777777778,2.3333333333333335,0.7807606763855062
0.5106602296910646,1.0349635161180402,54,23,8,6.228731956605651,0.7838017604019942,0.0027397260273972607,59.365494833035534,145.3962895377129,1.2222222222222223,44.52664083841069,28.523346507445435,35.306568625645376,68.33333333333333,40.0,12.0,2.820255474452555,0.5307177615571775,0.13108272506082727,120.33333333333333,40.111111111111114,3.0,0.6405905761217879
0.22361814311875744,1.74186304561216,96,26,7,4.468235084311549,0.7328709720352652,0.0015220700152207,52.4864049913322,63.927311435523116,1.5,44.122746304435715,47.71967711809457,44.482961322410155,30.333333333333332,18.0,7.0,1.2414841849148417,0.41727493917274944,0.10279805352798053,55.333333333333336,35.0,1.6666666666666667,1.0815210093415526
0.5012252627541238,1.4880836319712563,34,12,9,7.014505130256561,0.6151692796356841,0.0018264840182648401,53.93152194052373,143.389598540146,2.3333333333333335,43.28624204055456,15.210328954378289,40.174451182583205,69.0,40.0,11.0,2.7706812652068127,0.2916666666666667,0.12195863746958636,120.0,60.0,2.0,0.35138945395462706
0.21107670130769937,1.7593281694509806,114,17,12,6.011633218234882,0.6401911161967918,0.00030441400304414,18.616312440582345,20.80626520681265,0.3333333333333333,15.492634070090789,24.6043974103093,18.887339183670935,10.0,4.0,2.0,0.43126520681265207,0.1386861313868613,0.03467153284671533,16.0,48.0,0.3333333333333333,1.5881351937311403
