arrival_rate,rework_load_factor,dr2_period,dr2_capacity,engineer_pool_size,hours_per_day_per_engineer,dr_quality,throughput,p90_wait,avg_wip,avg_reworks,dr1_wait,dr2_wait,dr3_wait,dr1_cost,dr2_cost,dr3_cost,dr1_wip,dr2_wip,dr3_wip,total_review_cost,cost_per_completed,completed_count,dr2_wait_ratio,score
0.4625228126180321,1.132537831665372,115,20,4,7.464681865833979,0.7028371297139868,0.0009132420091324201,65.80834218860598,133.34336982968372,3.3333333333333335,43.08396592476364,61.383071061383966,53.17737124244436,63.666666666666664,32.0,6.0,2.541058394160584,0.956204379562044,0.09793187347931875,101.66666666666667,101.66666666666667,1.0,1.4247312136625387,1.4821805836853166
0.2951383579624603,1.2972464491865838,91,16,8,7.120524862217145,0.6579768003127695,0.0009132420091324201,46.428480637935536,87.83607055961072,2.6666666666666665,43.59483576365145,61.26235213641012,51.63053073630093,41.333333333333336,24.666666666666668,6.0,1.6706204379562044,0.6894768856447689,0.09519464720194648,72.0,72.0,1.0,1.4052662675125733,1.3300904479299913
0.48181525974264616,0.8422259772079727,119,28,4,6.5446114123586,0.8405401081596872,0.0015220700152207,60.199171508481356,137.44434306569346,1.1666666666666667,43.98774777966676,63.60073746849557,51.12304040231118,65.33333333333333,42.0,7.0,2.6548053527980535,1.244221411192214,0.12773722627737227,114.33333333333333,75.16666666666667,1.6666666666666667,1.4458739235086473,1.2632423914114055
0.581308941312084,1.4358254946310793,104,20,10,4.036156282229846,0.7660571228424993,0.0015220700152207,60.01401060425268,167.2475669099757,1.5555555555555556,48.44879354812095,51.24194718729161,43.60084255638759,79.33333333333333,44.0,10.0,3.5523114355231145,1.0860705596107054,0.13138686131386862,133.33333333333334,102.8888888888889,1.6666666666666667,1.0576516654928962,1.132475045695511
0.5250343587574539,2.061131938492541,93,25,12,5.793941895288843,0.5650302002136065,0.00121765601217656,33.40492003653136,154.09032846715328,2.6666666666666665,45.250813720862936,45.621419455937875,37.8153636366524,73.0,32.666666666666664,10.0,3.0513990267639906,0.7284063260340633,0.11648418491484185,115.66666666666667,95.0,1.3333333333333333,1.0081900347110018,1.1071352657606988
0.3311655542837282,2.4303626982425097,107,13,6,4.296037875423436,0.7354870386449424,0.00121765601217656,56.269691141608895,98.77615571776157,0.8333333333333334,44.26396273010173,61.043593173652376,48.03938154040568,47.333333333333336,24.666666666666668,7.0,1.936131386861314,0.7122871046228711,0.10979318734793188,79.0,64.83333333333333,1.3333333333333333,1.3790810720193303,1.0651124199420665
0.1572897448655892,1.6855214060631991,89,26,14,7.549413023141919,0.810304894020038,0.0009132420091324201,52.92818416559768,46.90358880778589,1.6666666666666667,47.85927684473858,57.081378083225864,60.30169112408023,20.666666666666668,15.333333333333334,5.0,0.9099756690997567,0.41088807785888076,0.10066909975669099,41.0,41.0,1.0,1.192692030604744,1.0566701660588662
0.1715758478952753,1.9002529497681224,109,17,12,6.250237166532402,0.8476609791196262,0.0009132420091324201,25.02431308425351,49.79622871046229,0.6666666666666666,41.61455682583387,62.79870515178906,35.06789624613163,22.333333333333332,16.666666666666668,6.0,0.8622262773722628,0.48175182481751827,0.07725060827250609,45.0,45.0,1.0,1.5090562039292053,1.051557801345788
0.555338464679424,2.2547606774478837,86,11,11,5.833903884983162,0.6203859410126784,0.0009132420091324201,36.296197726215986,161.68096107055962,1.6666666666666667,44.22982413607556,39.419979379046545,25.806949485411597,78.33333333333333,34.0,13.0,3.211374695863747,0.677007299270073,0.10036496350364964,125.33333333333333,125.33333333333333,1.0,0.8912533601257094,0.9761615364227698
0.5152660483604095,1.726044881784767,75,15,11,7.749628154135975,0.7066314183410599,0.0015220700152207,66.00442196083284,149.0434914841849,2.1666666666666665,43.34432632095792,42.12959878568879,41.450313607998964,70.33333333333333,34.0,10.0,2.82816301703163,0.6748783454987834,0.12408759124087591,114.33333333333333,75.33333333333333,1.6666666666666667,0.9719749356288465,0.950233652605778
0.3592428837424787,2.2751764200863165,111,27,17,5.161824744866621,0.7496743052841408,0.0018264840182648401,46.580782546555035,101.60492700729928,2.1666666666666665,42.8075956811065,50.02989273155426,38.93242506648455,51.0,28.0,9.0,2.020985401459854,0.7743309002433091,0.11100973236009733,88.0,52.44444444444445,2.0,1.1687153164183754,0.9495319272974294
0.3673111160982634,2.405335590118649,86,21,18,7.586376623816748,0.7872487269890549,0.0015220700152207,51.26423627577251,104.19251824817519,1.6666666666666667,41.73598120384523,44.56258600716078,40.1667885539395,52.0,34.666666666666664,8.0,2.008211678832117,0.7636861313868614,0.11465936739659366,94.66666666666667,62.0,1.6666666666666667,1.0677258500167988,0.9409845240704235
0.30352068312568936,2.4695097253901963,102,24,6,4.547903319709526,0.6945057528466991,0.00121765601217656,49.31821308554367,90.90754257907543,1.3333333333333333,44.35786115697783,51.04322784825797,34.94073011182345,43.333333333333336,21.333333333333332,5.0,1.784367396593674,0.5261557177615571,0.061739659367396595,69.66666666666667,56.666666666666664,1.3333333333333333,1.1507143608124233,0.9272099815935715
0.5435728804472655,1.0666879742926525,95,28,10,4.664573531251377,0.8923067035169917,0.00243531202435312,72.63937831106782,152.39233576642334,1.527777777777778,43.13223172865179,49.2112996204389,51.317919655936066,73.66666666666667,42.666666666666664,14.0,2.94647201946472,1.0085158150851583,0.22262773722627738,130.33333333333334,69.0,2.6666666666666665,1.1409402585526063,0.8988168003641543
