scenario,total_gain,completed_jobs,total_experiments,technical_failures,dr_cost
Sens_Uncert0.2_Decay0.5,5.7191525404635435,3.0,24.6,10.2,5880.0
Sens_Uncert0.2_Decay0.8,4.765435652829741,3.0,24.6,11.4,5880.0
Sens_Uncert0.2_Decay0.95,5.079843743544709,3.0,24.6,13.0,5880.0
Sens_Uncert0.4_Decay0.5,5.3200615867764025,3.0,24.6,11.2,5880.0
Sens_Uncert0.4_Decay0.8,5.129028570178507,3.0,24.6,12.8,5880.0
Sens_Uncert0.4_Decay0.95,5.167866890038545,3.0,24.6,11.2,5880.0
Sens_Uncert0.6_Decay0.5,4.587631982776837,3.0,24.6,10.6,5880.0
Sens_Uncert0.6_Decay0.8,5.244553625714263,3.0,24.6,10.6,5880.0
Sens_Uncert0.6_Decay0.95,4.589579840077347,3.0,24.6,14.2,5880.0
