job_id,node_id,start_time,base_duration,effective_duration,friction_multiplier,n_servers,wait_time,trial_id
bundle_BUNDLE_SMALL_8,MID_EXP,543.0,8.743238575868713,9.180400504662149,1.05,2,0.0,81
job_378.44,SMALL_EXP,378.44344396980324,1.131996752769027,57.61863471594347,50.900000000000006,999,0.0,81
job_186.35,SMALL_EXP,186.35248937881968,4.913013756525765,250.07240020716148,50.900000000000006,999,0.0,81
job_451.88,SMALL_EXP,451.8757112933901,0.21031634222713935,10.705101819361394,50.900000000000006,999,0.0,81
job_319.52,SMALL_EXP,319.5151758358113,2.9911551172832525,152.24979546971755,50.900000000000006,999,0.0,81
job_279.29,SMALL_EXP,279.29401559711516,3.8278158864468015,194.83582862014222,50.900000000000006,999,0.0,81
job_124.59,SMALL_EXP,124.59406007673569,7.1884174017986915,365.89044575155344,50.900000000000006,999,0.0,81
bundle_BUNDLE_MID_1,FIN_EXP,453.0,70.13007874185126,73.63658267894382,1.05,2,0.0,82
bundle_BUNDLE_SMALL_1,MID_EXP,183.0,0.7875806255989592,0.8269596568789073,1.05,2,0.0,82
job_57.94,SMALL_EXP,57.9403949070572,0.08288292130196984,4.218740694270265,50.900000000000006,999,0.0,82
job_40.99,SMALL_EXP,40.990247308893345,0.7097088845481456,36.12418222350062,50.900000000000006,999,0.0,82
job_25.48,SMALL_EXP,25.484378419294877,1.339605461808617,68.18591800605861,50.900000000000006,999,0.0,82
job_60.13,SMALL_EXP,60.12543628650982,0.8251654859778376,42.00092323627194,50.900000000000006,999,0.0,82
job_27.40,SMALL_EXP,27.39638319016682,2.4549400340613454,124.9564477337225,50.900000000000006,999,0.0,82
job_73.99,SMALL_EXP,73.99119766298581,1.9172759258503171,97.58934462578115,50.900000000000006,999,0.0,82
bundle_BUNDLE_SMALL_2,MID_EXP,363.0,9.251214705701774,9.713775440986863,1.05,2,0.0,82
job_59.33,SMALL_EXP,59.33445253555187,2.4459115639864684,124.49689860691126,50.900000000000006,999,0.0,82
job_141.52,SMALL_EXP,141.5198002801056,1.0044451071612936,51.12625595450985,50.900000000000006,999,0.0,82
job_184.85,SMALL_EXP,184.84777102941197,0.3503280941521281,17.831699992343324,50.900000000000006,999,0.0,82
job_168.97,SMALL_EXP,168.97350832366612,0.7930090735096472,40.36416184164105,50.900000000000006,999,0.0,82
job_228.05,SMALL_EXP,228.0464559841917,0.39939451207086907,20.32918066440724,50.900000000000006,999,0.0,82
job_56.04,SMALL_EXP,56.04111426569464,4.884694757484377,248.63096315595482,50.900000000000006,999,0.0,82
bundle_BUNDLE_MID_3,FIN_EXP,633.0,5.633746978987711,5.9154343279370964,1.05,2,0.0,82
bundle_BUNDLE_SMALL_7,MID_EXP,543.0,4.334876079988477,4.5516198839879,1.05,2,0.0,82
job_442.35,SMALL_EXP,442.34686382921353,1.3702640401738861,69.74643964485081,50.900000000000006,999,0.0,82
job_72.62,SMALL_EXP,72.61891874004337,8.6674312807974,441.17225219258773,50.900000000000006,999,0.0,82
job_281.27,SMALL_EXP,281.2742336431179,4.583694495394042,233.31004981555674,50.900000000000006,999,0.0,82
job_75.21,SMALL_EXP,75.21049052012498,8.657834810859287,440.68379187273774,50.900000000000006,999,0.0,82
job_346.33,SMALL_EXP,346.33494004739106,3.351736485041669,170.60338708862096,50.900000000000006,999,0.0,82
job_410.44,SMALL_EXP,410.4419368652497,2.1359635122469314,108.72054277336882,50.900000000000006,999,0.0,82
bundle_BUNDLE_MID_2,MID_EXP,543.0,16.21222185483538,17.02283294757715,1.05,2,0.0,82
bundle_BUNDLE_SMALL_3,MID_EXP,453.0,3.612042962668967,3.7926451108024155,1.05,2,0.0,82
job_298.79,SMALL_EXP,298.7890698841864,0.24845941987864625,12.646584471823095,50.900000000000006,999,0.0,82
job_225.20,SMALL_EXP,225.2031197257946,1.764579045603721,89.81707342122941,50.900000000000006,999,0.0,82
job_139.42,SMALL_EXP,139.422117546456,3.6752561820256697,187.07053966510662,50.900000000000006,999,0.0,82
job_118.55,SMALL_EXP,118.55094683957824,4.109596520232291,209.17846287982363,50.900000000000006,999,0.0,82
job_178.71,SMALL_EXP,178.71409755261152,3.2901387779362317,167.4680637969542,50.900000000000006,999,0.0,82
job_119.18,SMALL_EXP,119.17865125049697,4.77073516384804,242.83041983986527,50.900000000000006,999,0.0,82
bundle_BUNDLE_SMALL_4,MID_EXP,453.0,4.3310588942353885,4.547611838947158,1.05,2,0.0,82
job_322.73,SMALL_EXP,322.72828038275196,0.8509493906405866,43.31332398360586,50.900000000000006,999,0.0,82
job_238.33,SMALL_EXP,238.32663166090035,2.6003081890432425,132.35568682230107,50.900000000000006,999,0.0,82
job_176.61,SMALL_EXP,176.60956664044681,3.9337915967468065,200.22999227441247,50.900000000000006,999,0.0,82
job_343.21,SMALL_EXP,343.20918820679486,0.8096227858201692,41.20979979824662,50.900000000000006,999,0.0,82
job_150.80,SMALL_EXP,150.8032962541996,4.60955572005976,234.6263861510418,50.900000000000006,999,0.0,82
job_189.77,SMALL_EXP,189.76621513580045,4.324802923138461,220.13246878774768,50.900000000000006,999,0.0,82
bundle_BUNDLE_MID_6,FIN_EXP,813.0,17.174518851474716,18.033244794048453,1.05,2,0.0,82
bundle_BUNDLE_MID_4,MID_EXP,739.9070297341334,3.587217370298531,3.7665782388134574,1.05,2,16.907029734133403,82
bundle_BUNDLE_SMALL_9,MID_EXP,633.0,1.787157945220245,1.8765158424812574,1.05,2,0.0,82
job_346.71,SMALL_EXP,346.7100523516521,4.563314985332378,232.27273275341804,50.900000000000006,999,0.0,82
job_463.36,SMALL_EXP,463.36338834062053,2.3211085739462405,118.14442641386366,50.900000000000006,999,0.0,82
job_222.27,SMALL_EXP,222.26817480557068,7.07270674111861,360.0007731229373,50.900000000000006,999,0.0,82
job_547.16,SMALL_EXP,547.1588077003549,0.790748669213914,40.249107262988225,50.900000000000006,999,0.0,82
job_270.32,SMALL_EXP,270.3217332996648,6.24972902627551,318.1112074374235,50.900000000000006,999,0.0,82
job_492.04,SMALL_EXP,492.03640185132815,2.2537433381695875,114.71553591283201,50.900000000000006,999,0.0,82
bundle_BUNDLE_SMALL_10,MID_EXP,634.8765158424812,3.054556237971228,3.207284049869789,1.05,2,1.8765158424812398,82
job_107.84,SMALL_EXP,107.8370986557379,9.905642717971222,504.19721434473524,50.900000000000006,999,0.0,82
